PASSENGERS,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,MONTH
0.00,0.00,3FQ,21979,"Western Air Charter, Inc.  d/b/a  Jet Edge",D,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",2,2,15618,VNY,"Van Nuys, CA",CA,06,California,91,15618,VNY,"Van Nuys, CA",CA,06,California,91,2024,1
0.00,0.00,4W,20323,Warbelow,D,4W,Warbelow,1,5,11630,FAI,"Fairbanks, AK",AK,02,Alaska,1,11630,FAI,"Fairbanks, AK",AK,02,Alaska,1,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,10194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,10299,ANC,"Anchorage, AK",AK,02,Alaska,1,10299,ANC,"Anchorage, AK",AK,02,Alaska,1,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,10397,ATL,"Atlanta, GA",GA,13,Georgia,34,10397,ATL,"Atlanta, GA",GA,13,Georgia,34,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,10423,AUS,"Austin, TX",TX,48,Texas,74,10423,AUS,"Austin, TX",TX,48,Texas,74,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,10821,BWI,"Baltimore, MD",MD,24,Maryland,35,10821,BWI,"Baltimore, MD",MD,24,Maryland,35,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,10994,CHS,"Charleston, SC",SC,45,South Carolina,37,10994,CHS,"Charleston, SC",SC,45,South Carolina,37,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,11193,CVG,"Cincinnati, OH",KY,21,Kentucky,52,11193,CVG,"Cincinnati, OH",KY,21,Kentucky,52,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,11298,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11298,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2024,1
0.00,0.00,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,12266,IAH,"Houston, TX",TX,48,Texas,74,12266,IAH,"Houston, TX",TX,48,Texas,74,2024,1
