STATE,AIRPORT,AIRPORT_CITY,AIRPORT_ID,AIRPORT_HUB
Alaska,Anchorage (ANC),Anchorage ,ANC,Alaska Airlines
California,Los Angeles (LAX),Los Angeles ,LAX,Alaska Airlines
California,San Francisco (SFO),San Francisco ,SFO,Alaska Airlines
Oregon,Portland (PDX),Portland ,PDX,Alaska Airlines
Washington,Seattle (SEA),Seattle ,SEA,Alaska Airlines
California,San Diego (SAN),San Diego ,SAN,Alaska Airlines 
California,San Jose (SJC),San Jose ,SJC,Alaska Airlines 
Idaho,Boise (BOI),Boise ,BOI,Alaska Airlines 
Arizona,Phoenix-Mesa (AZA),Phoenix-Mesa ,AZA,Allegiant Air 
California,Los Angeles (LAX),Los Angeles ,LAX,Allegiant Air 
Florida,Fort Lauderdale (FLL),Fort Lauderdale ,FLL,Allegiant Air 
Florida,Sanford (SFB),Sanford ,SFB,Allegiant Air 
Florida,Fort Walton Beach (VPS),Fort Walton Beach ,VPS,Allegiant Air 
Florida,Punta Gorda (PGD),Punta Gorda ,PGD,Allegiant Air 
Florida,St. Petersburg (FL) (PIE),St. Petersburg,PIE,Allegiant Air 
Georgia,Savannah (SAV),Savannah ,SAV,Allegiant Air 
Indiana,Indianapolis (IND),Indianapolis ,IND,Allegiant Air 
Iowa,Des Moines (DSM),Des Moines ,DSM,Allegiant Air 
Kentucky,Cincinnati (CVG),Cincinnati ,CVG,Allegiant Air 
Michigan,Flint (FNT),Flint ,FNT,Allegiant Air 
Michigan,Grand Rapids (GRR),Grand Rapids ,GRR,Allegiant Air 
Nevada,Las Vegas (LAS),Las Vegas ,LAS,Allegiant Air 
North Carolina,Asheville (AVL),Asheville ,AVL,Allegiant Air 
Pennsylvania,Pittsburgh (PIT),Pittsburgh ,PIT,Allegiant Air 
Pennsylvania,Allentown (ABE),Allentown ,ABE,Allegiant Air 
Tennessee,Knoxville (TYS),Knoxville ,TYS,Allegiant Air 
Tennessee,Nashville (BNA),Nashville ,BNA,Allegiant Air 
Texas,Austin (AUS),Austin ,AUS,Allegiant Air 
Utah,Provo (PVU),Provo ,PVU,Allegiant Air 
Washington,Bellingham (BLI),Bellingham ,BLI,Allegiant Air 
Wisconsin,Appleton (ATW),Appleton ,ATW,Allegiant Air 
Kentucky,Cincinnati (CVG),Cincinnati ,CVG,Amazon Air
Arizona,Phoenix-Sky Harbor (PHX),Phoenix-Sky Harbor ,PHX,American Airlines
California,Los Angeles (LAX),Los Angeles ,LAX,American Airlines
Florida,Miami (MIA),Miami ,MIA,American Airlines
Illinois,Chicago-O'Hare (ORD),Chicago-O'Hare ,ORD,American Airlines
New York,New York-JFK (JFK),New York-JFK ,JFK,American Airlines
New York,New York-LaGuardia (LGA),New York-LaGuardia ,LGA,American Airlines
North Carolina,Charlotte (CLT),Charlotte ,CLT,American Airlines
Pennsylvania,Philadelphia (PHL),Philadelphia ,PHL,American Airlines
Texas,Dallas/Fort Worth (DFW),Dallas/Fort Worth ,DFW,American Airlines
Virginia,Washington-Reagan (DCA),Washington-Reagan ,DCA,American Airlines
